Horodatage,Données,Mise à jour,Date/heure
2026-08-17 17:17:29,Semaine du 17 au 21 août 2026,DATE D'EMBARGO,2026-08-17 00:00:00
2026-08-17 17:17:29,"Fréquentation touristique dans les hôtels, campings et autres hébergements collectifs                                    touristiques – 2e trimestre 2026",19 août à 12h,2026-08-19 12:00:00
2026-08-17 17:17:29,Climat des affaires – août 2026,21 août à 8h45,2026-08-21 08:45:00
2026-08-17 17:17:29,Enquête mensuelle de conjoncture dans l'industrie – août 2026,21 août à 8h45,2026-08-21 08:45:00
2026-08-17 17:17:29,Enquête mensuelle de conjoncture dans l’industrie du bâtiment – août 2026,21 août à 8h45,2026-08-21 08:45:00
2026-08-17 17:17:29,Enquête mensuelle de conjoncture dans le commerce de détail et le commerce et la réparation                                    automobiles – août 2026,21 août à 8h45,2026-08-21 08:45:00
2026-08-17 17:17:29,Enquête mensuelle de conjoncture dans les services – août 2026,21 août à 8h45,2026-08-21 08:45:00
2026-08-17 17:17:29,Indice de production dans les services – juin 2026,21 août à 8h45,2026-08-21 08:45:00
2026-08-17 17:17:29,Volume des ventes dans le commerce – juin 2026,21 août à 8h45,2026-08-21 08:45:00
2026-08-17 17:17:29,Semaine du 24 au 28 août 2026*,DATE D'EMBARGO,2026-08-24 00:00:00
2026-08-17 17:17:29,Enquête mensuelle de conjoncture auprès des ménages - août 2026,25 août à 8h45,2026-08-25 08:45:00
2026-08-17 17:17:29,Prix des énergies et des matières premières importées - juillet 2026,25 août à 12h,2026-08-25 12:00:00
2026-08-17 17:17:29,Créations d’entreprises - juillet 2026,26 août à 8h45,2026-08-26 08:45:00
2026-08-17 17:17:29,Indices de prix de production et d'importation de l'industrie - juillet 2026,27 août à 8h45,2026-08-27 08:45:00
2026-08-17 17:17:29,Chiffre d'affaires dans l'industrie et la construction - juin 2026,27 août à 12h,2026-08-27 12:00:00
2026-08-17 17:17:29,Indice des prix de l’entretien-amélioration des bâtiments - 2e trimestre 2026,27 août à 12h,2026-08-27 12:00:00
2026-08-17 17:17:29,Indices des prix agricoles – juillet 2026,27 août à 12h,2026-08-27 12:00:00
2026-08-17 17:17:29,Indices des prix de production des services – 2e trimestre 2026,27 août à 12h,2026-08-27 12:00:00
2026-08-17 17:17:29,Comptes nationaux trimestriels – Résultats détaillés – 2e trimestre 2026,28 août à 8h45,2026-08-28 08:45:00
2026-08-17 17:17:29,Dépenses de consommation des ménages en biens – juillet 2026,28 août à 8h45,2026-08-28 08:45:00
2026-08-17 17:17:29,Estimations trimestrielles d’emploi – résultats détaillés – 2e trimestre 2026,28 août à 8h45,2026-08-28 08:45:00
2026-08-17 17:17:29,Indice des prix à la consommation - résultats provisoires – août 2026,28 août à 8h45,2026-08-28 08:45:00
2026-08-29 14:14:02,Semaine du 31 août au 4 septembre 2026,DATE D'EMBARGO,
2026-08-29 14:14:02,Les dépenses antipollution dans l’industrie en 2024 - Insee Première,3 septembre à 17h,00NA-09-03 17:00:00
2026-08-29 14:14:02,Mise à jour mensuelle des statistiques sur les naissances – juillet 2026,3 septembre à 12h,00NA-09-03 12:00:00
2026-08-29 14:14:02,Mise à jour mensuelle des statistiques sur les décès – juillet 2026,4 septembre à 12h,00NA-09-04 12:00:00
2026-08-29 14:14:02,Semaine du 7 au 11 septembre 2026*,DATE D'EMBARGO,2026-09-07 00:00:00
2026-08-29 14:14:02,Indices Notaires-Insee des prix des logements anciens - 2e trimestre 2026,8 septembre à 8h45,2026-09-08 08:45:00
2026-08-29 14:14:02,Indice de la production industrielle - juillet 2026,9 septembre à 8h45,2026-09-09 08:45:00
2026-08-29 14:14:02,Présentation de la Note de conjoncture de septembre.                                      Elle se tiendra en présentiel ou en ligne – jeudi 10 septembre à 9h30,10 septembre à 17h,2026-09-10 17:00:00
