id,titre,theme,mots_cles,producteur,type_prod,frequence,licence,modifie,lignes,description
espaces_verts_supplementaires,M² d'espaces verts supplémentaires,Environnement,"DEVE,espaces verts,végétalisation",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Licence Ouverte (Etalab),2026-09-04,64,"Les espaces verts supplémentaires (par projet) Cet indicateur, qui alimente l’indicateur d’espace public végétalisé, est lié à l’objectif de créer 30 hectares d’espaces verts supplémentaires au cours de la mandature. Les surfaces sont exprimées en hectares et sont comptabilisées depuis août 2020. Elles intègrent les créations de parcs, jardins, les renaturations d’espaces verts existants, les extensions et les ouvertures au public d’espaces verts existants, y compris les tronçons de la Petite Ceinture."
budget-participatif_operations-projets-gagnants-realisations,Budget Participatif - Les opérations des projets lauréats jusqu’à leurs réalisations,Citoyenneté,"budget participatif,Démocratie participative,Ville de Paris,intérêt général,plateforme citoyenne Paris,Décider pour Paris,proposer projets Paris,idées citoyennes Paris","Direction de la Démocratie, des Citoyen.ne.s et des Territoires - Ville de Paris",,,Open Database License (ODbL),2026-09-04,5504,"Cette table de données présente les opérations des projets lauréats du Budget Participatif , de leur planification jusqu’à leur réalisation. Depuis 2014, le Budget Participatif est un dispositif de participation citoyenne qui invite les Parisiennes et Parisiens à proposer à la Ville de Paris des idées d'intérêt général. Il permet de décider directement d’une partie des investissements qui seront réalisés : ce sont les habitantes et habitants (à partir de 7 ans et sans condition de nationalité) qui choisissent par leur vote les projets qui seront mis en œuvre. Pour plus d'informations sur ce je"
dans-ma-rue,Dans Ma Rue - Anomalies signalées,"Equipements, Services, Social","propreté,signalement,graffiti,DMR,encombrants,Mobilier urbain,espace public,2 roues motorisés,vélo,Dans Ma Rue",Ville de Paris,,,Open Database License (ODbL),2026-09-04,1517820,"Anomalies signalées par les contributeurs-utilisateurs de l'application Dans Ma Rue sur l'année précédente et sur l'année en cours (à J - 3mois) . Depuis 2012 la ville de Paris a lancé une application mobile de signalements des anomalies sur l'espace public appelée "" Dans Ma Rue"". Plus d'informations Signaleurs « Dans ma rue » : agir sur l’espace public Dans ce jeu de données vous retrouvez l 'ensemble des anomalies signalées de l'année précédente et en cours à J - 3 mois. Les données antérieures sont disponibles dans le jeu de données historique : Dans Ma Rue - Historique - Anomalies signalée"
stationnement-en-ouvrage,Stationnement en ouvrage,Mobilité et Espace Public,"stationnement,parking,concessions,parc,DVD,BNLS,PAN,entrées parking,parcs,2 roues motorisés,moto,auto,véhicule électrique,vélo,PMR",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,125,"Ce jeu de données liste les parcs de stationnements concédés de la Ville de Paris, leurs entrées, l'offre tarifaire ainsi que les types de véhicules accueillis. Cette donnée géographique géolocalise l'ensemble des parcs de stationnement sur leur entrée principale et décrit l'offre de stationnement tel que définie par schema.data.gouv.fr reposant sur la loi d’orientation des mobilités (LOM). La LOM désigne les collectivités territoriales comme étant responsables de la mise à disposition des données sur la plateforme transport.data.gouv.fr, qui constitue le Point d’Accès National des données de "
les-arbres,Arbres,Environnement,"Arbres,Espacesverts,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,219360,"Cette couche géo-localise une partie des arbres relevant de la Ville de Paris. Cela inclut les arbres d’alignement (dans les rues), ceux des espaces verts et des équipements publics municipaux. Elle n’inclut pas les bosquets, les ensembles forestiers, les arbres du domaine privé etc. Attention : cette donnée n’est pas mise à jour en temps réel et de grands décalages peuvent apparaître (particulièrement dans les espaces verts) et son périmètre ne couvre ni l’ensemble de l’action de la Ville, ni les arbres privés. Sur cette couche de données sont renseignés la mensuration, la classification des "
arbres-abattus-pour-raison-sanitaires-et-essence-de-remplacement,Arbres abattus pour raisons sanitaires et essence de remplacement,Environnement,"arbres,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,421,"Jeu de données géographique présentant les arbres récemment abattus pour des raisons de sécurité. Il est précisé pour chaque arbre la raison de cette décision (pathologie, défaut mécanique, etc.) ainsi que l’essence de l’arbre prévu en remplacement. Ce jeu de données ne prend en compte que les arbres abattus pour raison sanitaire jusqu'à leur replantation ou jusqu'à 6 mois après leur abattage. La donnée a été construite à partir des tournées de surveillance réalisées depuis le printemps 2021. Un arbre doit être abattu lorsqu’il présente un risque de chute ou de contamination d’autres arbres. A"
arbres-plantes-par-projet,Arbres plantés,Environnement,"arbres,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,1069,"Jeu de données géographique présentant l’ensemble des projets des plantations d’arbres (alignement et peuplement forestier) Ce jeu de données est issu des projets de plantation d’arbres. Cette donnée n’est pas à jour en temps réel. En effet, le nombre important d'acteurs plantant des arbres à Paris allonge le délai d’intégration de ces nouvelles plantations dans les systèmes d’informations."
dechets-menagers-pavda,Déchets ménagers - Points d'apport volontaire (PAVDA) - Abri-bac Déchets Alimentaires,Environnement,"Ordures ménagères,Point de collecte,Tri,Equipements,DPE,PAVDA,déchets",Direction de la Propreté et de l'Eau - Ville de Paris,,DAILY,Licence Ouverte (Etalab),2026-09-04,447,"Localisation des abri-bacs en apport volontaire destinés aux déchets alimentaires. Les abri-bacs en apport volontaire destinés aux déchets alimentaires complètent l'offre de tri des déchets alimentaires fournie également par les stations Trilib' (voir jeu de données associés). Depuis l'instauration de l'obligation du tri à la source des déchets alimentaires depuis le 1e Janvier 2024, ces mobiliers permettent aux parisiens de trier leurs déchets alimentaires. Que met-on dans les abri-bacs en apport volontaire destinés aux déchets alimentaires ? TOUS les déchets alimentaires : restes et préparat"
fermetures-voirie,Fermetures de voirie programmées,Mobilité et Espace Public,"Fermetures,périphérique,voies sur berges,bretelles,tunnels",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,128,"Fermetures de voirie programmées Cette donnée représente les fermetures de voirie (bretelles du périphérique, périphérique, tunnels, voies sur berges) programmées sur deux mois. La mise à jour est quotidienne. Producteur : DVD – Délégation aux territoires – Section des tunnels, des berges et du périphérique."
autorisations-durbanisme-h,Autorisations d'Urbanisme - Historique,Urbanisme et Logements,"urbanisme,permis,construire,declaration,travaux,amenager,Dossier,Demande,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-09-04,384140,"Jeu de données géolocalisées exposant l'historique des autorisations d'urbanismes La Direction de l'Urbanisme de la Ville de Paris instruit et délivre les autorisations d'urbanisme indispensables aux entreprises ou aux particuliers. Elle contrôle leur mise en œuvre et verbalise les travaux sans autorisation ou non conformes aux autorisations délivrées. Elle délivre aussi les autorisations relatives aux enseignes, à la publicité, aux étalages et aux terrasses. Elle recouvre les droits de voirie et taxes d'urbanisme"
parissetransforme,Paris se transforme,"Mobilité et Espace Public,Citoyenneté,Commerces et Tourisme,Environnement",,Direction de la Communication - Ville de Paris,,MONTHLY,Licence Ouverte (Etalab),2026-09-04,3262,"Jeu de données des projets de transformation de la Ville de Paris Chaque enregistrement désigne une réalisation. Découvrez grâce à ce jeu de donnée comment Paris se transforme, ce qui change dans votre arrondissement et dans votre quartier. Ce jeu de données contient : Les Réalisations de la Ville de Paris Il comprend des indications sur les adresses et les catégories des réalisations. Sur Paris.fr retrouvez La carte des réalisations"
stationnement-voie-publique-emplacements,Stationnement sur voie publique - emplacements,Mobilité et Espace Public,"stationnement payant,stationnement rotatif,livraison,deux-roues,autocars,vélos,stationnement,stationnement mixte,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,65814,"Le jeu de données présente les emplacements des zones de stationnement de différents types (payant, rotatif, mixte, livraison, autocars, vélos, deux-roues motorisés...) Ces données évoluant rapidement, la Ville de Paris ne peut en garantir l'exhaustivité. Les emplacements des zones de stationnement sont représentées par des points. Ce jeu de données est associé aux jeux de données Stationnement sur voie publique - emprises et Stationnement sur voie publique - Stationnement interdit"
chantiers-perturbants,Travaux perturbants la circulation,Mobilité et Espace Public,"chantiers,perturbations,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,113,"Donnée contenant l'ensemble des chantiers perturbants de la Ville de Paris. Donnée surfacique décrivant l'ensemble des chantiers perturbants de la ville de Paris. Les chantiers perturbants sont définis comme « Les chantiers principaux ayant un impact sur la circulation » Attention la donnée n'est pas exhaustive et ne représente pas la totalité des chantiers à Paris. Les chantiers représentés répondent principalement aux critères suivants : perturbent la circulation des voitures ou des vélos durent plus d'une semaine sont situés sur les voies principales, hors périphérique Les polygones sont cr"
bp_projets_gagnants,Budget participatif - Les projets lauréats,Citoyenneté,"budget participatif,Démocratie participative,Ville de Paris,intérêt général,plateforme citoyenne Paris,Décider pour Paris,proposer projets Paris,idées citoyennes Paris","Direction de la Démocratie, des Citoyen.ne.s et des Territoires - Ville de Paris",,,Open Database License (ODbL),2026-09-04,1446,"Cette table de données présente les projets lauréats du Budget Participatif , de leur planification jusqu’à leur réalisation. Depuis 2014, le Budget Participatif est un dispositif de participation citoyenne qui invite les Parisiennes et Parisiens à proposer à la Ville de Paris des idées d'intérêt général. Il permet de décider directement d’une partie des investissements qui seront réalisés : ce sont les habitantes et habitants (à partir de 7 ans et sans condition de nationalité) qui choisissent par leur vote les projets qui seront mis en œuvre. Pour plus d'informations vous avez à votre dispos"
comptages-routiers-permanents,Comptage routier - Données trafic issues des capteurs permanents,Mobilité et Espace Public,"circulation,trafic,comptage routier,capteur,capteur trafic,IoT,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,27984256,"Données de trafic routier issues des capteurs permanents sur 13 mois glissants en J-1 Sur le réseau parisien, la mesure du trafic s’effectue majoritairement par le biais de boucles électromagnétiques implantés dans la chaussée. Les données historiques sont disponibles dans le jeu de données Comptage routier - Historique - Données trafic issues des capteurs permanents La donnée est produite par la Direction de la Voirie et des déplacements - Service des Déplacements - Poste Central d'Exploitation Lutèce. La donnée et les visualisations associées (Tableau, Carte et Dataviz) sont brutes sans aucu"
arbres-plantes-hors-peuplement-forestier,Les arbres d'alignement (plantés hors peuplement forestier),Environnement,"arbres,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,19126,"Jeu de données géographique présentant les arbres d'alignement (plantés hors peuplement forestiers) Il est précisé pour chaque arbre son adresse, son essence, sa date de plantation… Ce jeu de données ne prend en compte que les arbres plantés après le 1er novembre 2021. Cette donnée n’est pas à jour en temps réel . En effet, le nombre important d'acteurs plantant des arbres à Paris allonge le délai d’intégration de ces nouvelles plantations dans les systèmes d’informations."
belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques,Belib' - Points de recharge pour véhicules électriques - Données statiques,Mobilité et Espace Public,"Belib,IRVE,BRVE,DVD,véhicule électrique,rechargement,Stationnement",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,1898,"Donnée géolocalisée des points de recharge [ Bélib' ] pour véhicules électriques en service. Belib’ est le réseau public parisien de bornes de recharge pour véhicules électriques, opéré par Total Marketing France depuis mars 2021. Il comprend environ 2000 points de charge répartis sur 430 stations, dont une partie des anciennes stations Autolib’. Des bornes de recharge rapide sont déjà déployées dans certains dans certains parcs concédés. Ce jeu de données est mis à jour quotidiennement. Il est conforme aux spécifications Schema.data.gouv.fr du fichier d'échange relatives aux données concernan"
velib-emplacement-des-stations,Vélib' - Localisation et caractéristique des stations,Mobilité et Espace Public,"vélo,velib,mobilité",Autolib Velib Métropole,,,Open Database License (ODbL),2026-09-04,1519,"Jeu de données présentant les caractéristiques et la localisation des stations Vélib’ Métropole. Pour en savoir plus sur le Service Vélib' Vélib’ Métropole, ce sont près de 1 400 stations réparties sur 55 communes en Métropole et près de 400 km² desservis , soit le plus grand service de vélos partagés au monde incluant des vélos électriques rechargeables en station. Les données mises à disposition sont des données de type dynamique permettant de suivre l’évolution du service en temps réel. Le moment de la dernière mise à jour est renseigné dans chaque base. Ces données vous permettront de conn"
ascenseurs-escalators-tele-surveillance-temps-reel,Ascenseurs / Escalators - Télé-surveillance temps réel,"Equipements, Services, Social","Ascenseur,escalator,accessibilité,PMR,espace public,mobilité,Equipements,DCPA",Direction Constructions Publiques et Architecture - Ville de Paris,,,Open Database License (ODbL),2026-09-04,33,"Donnée géo-localisée des ascenseurs / escalators avec leurs statuts de fonctionnement en temps réel L'opérateur de télé-surveillance des équipements GETRALINE, prestataire pour l'ensemble des ascenseurs / escalators sous gestion Ville de Paris. GETRALINE fourni une API (Application Programming Interface), une interface informatique qui fait remonter automatiquement dans ce jeu de données une panne ou une résolution de panne. Via cette API de type Push (pousser), chaque équipement individuellement fait remonter éventuellement un changement de statut."
comptage-velo-compteurs,Comptage vélo - Compteurs,Mobilité et Espace Public,"vélo,piste cyclable,bande cyclable,DVD,IoT,comptage vélo",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,113,Jeu de données listant et localisant les compteurs des sites de comptage vélos de la Ville de Paris. Un site de comptage peut être équipé d'un compteur dans le cas d'un aménagement cyclable unidirectionnel ou de deux compteurs dans le cas d'un aménagement cyclable bi-directionnel. La Ville de Paris déploie depuis plusieurs années des compteurs vélo permanents (site ou point de comptage) pour évaluer le développement de la pratique cycliste. Les compteurs sont situés sur des pistes cyclables et dans certains couloirs bus ouverts aux vélos. Les autres véhicules (ex : trottinettes…) ne sont pas c
comptage-velo-donnees-compteurs,Comptage vélo - Données compteurs,Mobilité et Espace Public,"vélo,comptage vélo,piste cyclable,DVD,IoT,bande cyclable",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,1052340,"ATTENTION :Au 08/09/2023, le jeu de données Comptage vélo - Données compteurs subit des dysfonctionnements qui peut altérer la véracité des informations transmises. Nos équipes techniques sont mobilisés pour résoudre le problème au plus vite. Jeu de données des comptages horaires de vélos par compteur et localisation des sites de comptage en J-1 sur 13 mois glissants Un site de comptage peut être équipé d'un compteur dans le cas d'un aménagement cyclable unidirectionnel ou de deux compteurs dans le cas d'un aménagement cyclable bi-directionnel. La Ville de Paris déploie depuis plusieurs années"
velib-disponibilite-en-temps-reel,Vélib - Vélos et bornes - Disponibilité temps réel,Mobilité et Espace Public,"vélo,velib,mobilité",Autolib Velib Métropole,,,Open Database License (ODbL),2026-09-04,1519,"Jeu de données présentant la disponibilité des bornettes, vélos mécaniques et électriques des stations Vélib’ Métropole. Pour en savoir plus sur le Service Vélib' Vélib’ Métropole, ce sont près de 1 400 stations réparties sur 55 communes en Métropole et près de 400 km² desservis , soit le plus grand service de vélos partagés au monde incluant des vélos électriques rechargeables en station. Les données mises à disposition sont des données de type dynamique permettant de suivre l’évolution du service en temps réel. Le moment de la dernière mise à jour est renseigné dans chaque base. Ces données "
stationnement-sur-voie-publique-stationnement-interdit,Stationnement sur voie publique - Stationnement interdit,Mobilité et Espace Public,"Stationnement,internet,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,974820,"Le jeu de données présente les emplacements de stationnement interdit. Ces données évoluant rapidement, la Ville de Paris ne peut en garantir l’exhaustivité. Ce jeu de données est associé aux jeux de données Stationnement sur voie publique - emplacements et Stationnement sur voie publique - emprises"
stationnement-sur-voie-publique-emprises,Stationnement sur voie publique - emprises,Mobilité et Espace Public,"parking,Stationnement,voirie,véhicule,stationnement mixte,deux-roues,vélos,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,65814,"Le jeu de données présente les emprises des zones de stationnement de différents types (payant, rotatif, mixte, livraison, autocars, vélos, deux-roues motorisés...). Ces données évoluant rapidement, la Ville de Paris ne peut en garantir l'exhaustivité. Les emplacements des zones de stationnement sont représentées par des polygones. Un polygone peut inclure plusieurs places de stationnement. Ce jeu de données est associé au jeu de données Stationnement sur voie publique - emplacements et Stationnement sur voie publique - Stationnement interdit"
adresse_paris,Adresses,Urbanisme et Logements,"numéro,point,vecteur,coordonnées,adresse,voie,localisation,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-09-04,153467,Données géographiques ponctuelles. L'adresse est constituée d’un numéro de voirie et du nom d’une rue dans une commune. Elle permet ainsi de localiser géographiquement un lieu. Etendue géographique : Paris Fichier joint contient la description des données
arbres-a-abattre-pour-raison-sanitaires-et-essence-de-remplacement,Arbres à abattre pour raisons sanitaires et essence de remplacement,Environnement,"arbres,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,373,"Jeu de données géographique présentant les arbres prochainement abattus pour des raisons de sécurité. Il est précisé pour chaque arbre la raison de cette décision (pathologie, défaut mécanique, etc.) ainsi que l’essence de l’arbre prévu en remplacement. Ce jeu de données ne prend en compte que les arbres à abattre pour raison sanitaire jusqu'à leur replantation ou jusqu'à 6 mois après leur abattage. La donnée a été construite à partir des tournées de surveillance réalisées depuis le printemps 2021. Un arbre doit être abattu lorsqu’il présente un risque de chute ou de contamination d’autres arb"
dechets-menagers-points-dapport-volontaire-stations-trilib,Déchets ménagers - Points d'apport volontaire - Stations Trilib',Environnement,"Ordures ménagères,Point de collecte,Tri,Equipements,DPE,TRILIB,déchets",,,DAILY,Licence Ouverte (Etalab),2026-09-04,440,"Localisation des stations Trilib' pour le tri des emballages, verre et déchets alimentaires. Les stations Trilib' sont des points d'apport volontaire destinés aux emballages, papiers, verre et déchets alimentaires (complétant l'offre de tri des déchets alimentaires fournie également par les abri-bacs déchets alimentaires (voir jeu de données associés). Une station Trilib' est composée, en règle générale, de quatre ""modules"" permettant le tri : Deux modules d'opercule de couleur jaune : vous pouvez jeter tout ce que vous jetez d'habitude dans le bac à couvercle jaune (emballages plastiques - mé"
arbresremarquablesparis,Les arbres remarquables,Environnement,"Arbres,remarquables,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,185,"Géo-localisation des arbres remarquables d'alignement, des jardins, des cimetières parisiens, des écoles, des établissements de la petite enfance, Création de la donnée : 2006 Pour plus de renseignements, consultez la notice en pièce jointe OU le dossier spécial Arbres remarquables à Paris"
chantiers-a-paris,Chantiers à Paris,Mobilité et Espace Public,"chantiers,espace public,emprises chantier,Restriction circulation,circulation,stationnement,mobilité",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,4785,"Jeu de données des chantiers en cours à J-1, de la Ville de Paris, des opérateurs de réseaux ainsi que des chantiers privés qui occupent l'espace public parisien. Chaque enregistrement désigne une emprise de chantier. Un chantier peut contenir plusieurs emprises. L’emprise d’un chantier désigne une surface occupée temporairement par des travaux sur l’espace public. Elle correspond à l’espace déclaré par le demandeur (particulier riverain, concessionnaire de service public, maître d'œuvre ou conducteur de travaux, entreprise de BTP...) à l’occasion d’une demande d’autorisation d’occupation temp"
ilots-de-fraicheur-espaces-verts-frais,"Ilots de fraîcheur - Espaces verts ""frais""",Environnement,"canicule,îlots de fraîcheur,ombre,végétation,Climat,DTEC,OBS-TES,Adaptation climatique",Direction de la Transition Écologique et du Climat - Ville de Paris,,,Open Database License (ODbL),2026-09-04,984,"Ce jeu de données recense les espaces verts « frais » de la Ville de Paris ainsi que certains parcs et jardins de l’Etat classés en fonction de leur part de végétation haute (ombrage attendu) et de leurs ouvertures nocturnes. Cette classification proposée par l’APUR (Atelier parisien d’urbanisme), est issue de l’étude commandée par la Ville de Paris sur le couvert végétal et la canopée qui a permis de cartographier la végétation haute de plus de 8m de haut, sur l’ensemble du territoire parisien. La part de végétation haute permet en journée de déterminer si l’espace vert en question est : Très"
espaces_verts,Espaces verts et assimilés,Environnement,"parcs,jardins,squares,promenades,talus,jardinets,DEVE,Cimetières,Jardinières,murs végétalisés",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,2534,"Cette couche surfacique localise géographiquement l'emprise des espaces verts publics (parcs, squares, promenades etc...) gérés par la Ville de Paris. Code Type espace vert Descriptif 1 Promenades ouvertes Espaces verts (parcs, jardins ou squares) situés sur le domaine affecté à la DEVE ou avec convention avec la Ville sur tout autre domaine. 2 Jardinets décoratifs Espaces verts (parcs, jardins ou squares) situés sur le domaine affecté à la DEVE ou avec convention avec la Ville sur tout autre domaine, ayant un caractère exclusivement décoratifs. 3 Végétalisation d'espace public Regroupe l'ense"
dossiers-recents-durbanisme,Autorisations d'urbanisme - 6 derniers mois,Urbanisme et Logements,"urbanisme,aménagement,Construction,Demande,Dossier,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-09-04,8095,"Jeu de données géolocalisées exposant les autorisations d'urbanisme des 6 derniers mois La Direction de l'Urbanisme de la Ville de Paris instruit et délivre les autorisations d'urbanisme indispensables aux entreprises ou aux particuliers. Elle contrôle leur mise en œuvre et verbalise les travaux sans autorisation ou non conformes aux autorisations délivrées. Elle délivre aussi les autorisations relatives aux enseignes, à la publicité, aux étalages et aux terrasses. Elle recouvre les droits de voirie et taxes d'urbanisme Liste des autorisations d'urbanisme : permis de construire ( PC ), permis "
amenagements-cyclables,Linéaires d'aménagement cyclable,Mobilité et Espace Public,"piste cyclable,plan vélo,aménagement cyclable",Direction de la Voirie et des Déplacements - Ville de Paris,,DAILY,Open Database License (ODbL),2026-09-04,158307,"Les données sont issues d’OSM selon le schéma décrit dans la notice (Notice_amenagements_cyclables.pdf). La donnée contient l’ensemble des éléments obligatoires attendus dans le schéma national des aménagements cyclables . Néanmoins pour obtenir les données aménagement cyclable au format du schéma national, il est possible d’utiliser https://transport.data.gouv.fr/datasets/amenagements-cyclables-france-metropolitaine/ ou https://geodatamine.fr/ La donnée Itinéraires cyclables est issue de la base de données libre et ouverte OpenStreetMap (OSM) ©Les contributeurs d'OSM . Pour les données les pl"
terrasses-autorisations,Terrasses et étalages : Autorisations,Urbanisme et Logements,"DU,terrasses,Occupation espace public,commerce,bar,autorisation",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-09-04,24238,"Ce jeu de données liste et géolocalise les terrasses permanentes et estivales ainsi que les étalages, autorisés à Paris. L'installation des étalages et terrasses sur la voie publique ainsi que des contre-étalages et contre-terrasses, des commerces accessoires aux terrasses et des dépôts de matériel ou objets divers devant les boutiques sont soumises à autorisation. Plus d'informations: http://www.paris.fr/professionnels/l-entreprise-au-quotidien/terrasses-et-etalages-3516"
ilots-de-fraicheur-equipements-activites,Ilots de fraîcheur - Equipements / Activités,Environnement,"canicule,îlots de fraîcheur,DTEC,OBS-TES,Climat,Adaptation climatique",Direction de la Transition Écologique et du Climat - Ville de Paris,,,Open Database License (ODbL),2026-09-04,535,"Ce jeu de données recense les équipements et activités « frais » sur le territoire parisien. Les équipements frais peuvent être de différentes catégories : Piscines Baignades extérieures Bains-douches Lieux de cultes naturellement frais (matériaux, ventilation, etc.) Musées climatisés ou naturellement frais Bibliothèques climatisées ou naturellement fraîches Mairies d’arrondissement Salles rafraîchies du plan canicule Terrains de boules ombragés Leur recensement a été réalisé par l’APUR (Atelier parisien d’urbanisme) et la Ville de Paris. La Ville de Paris poursuit le recensement des équipemen"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,Belib' - Points de recharge pour véhicules électriques - Disponibilité temps réel,Mobilité et Espace Public,"BRVE,IRVE,Belib,Stationnement,véhicule électrique,rechargement",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,1968,"Donnée géolocalisée de disponibilité en temps réel des Points de recharge [ Bélib' ] pour véhicules électriques - Infrastructure de Recharge des Véhicules Electriques (IRVE) Le conseil de Paris a voté l’attribution d’une concession de services à un nouvel opérateur, Total Marketing France (TMF) , pour l’exploitation technique et commerciale des bornes de recharge publiques à Paris. Concrètement, le réseau d’anciennes bornes Autolib' va progressivement être remplacé par de nouvelles bornes. La fin de ce déploiement est prévu pour janvier 2022. Les bornes Belib’ restent quant à elles en place. L"
que-faire-a-paris-,Que Faire à Paris ? - Evènements et activités,Culture,"loisirs,évenement,agenda culturel,activité,Paris,Région,DICOM",Direction de la Communication - Ville de Paris,,,Open Database License (ODbL),2026-09-04,3280,"Que faire à Paris est l’agenda participatif de la Ville de Paris. Vous trouverez ici tous les événements et activités de Paris et sa région publiés sur le site. La structure du jeu de données a évolué. Les deux taxonomies – catégories et tags – ont étés rassemblées en une seule. Les anciennes catégories étaient exclusives (un évènement ne pouvait avoir qu'une seule catégorie), et les catégories et tags choisis étaient souvent redondants ; nous avons donc conservé uniquement le classement par tags en transformant les anciennes catégories en tags, et nettoyé les potentiels doublons. Site web : Q"
circulation_evenement,Evénements affectant la circulation parisienne,Mobilité et Espace Public,"voirie,circulation",,,,Licence Ouverte (Etalab),2026-09-04,167,"La Ville de Paris met à disposition les informations d’événements affectant la circulation parisienne telles qu’elles sont repérées par le centre de régulation parisien (PC LUTECE). Chaque ligne du jeu de données contient l’identifiant de l’évènement, la date de début, la date de fin, la description libre, le type de l’évènement, le sous type de l’évènement, la rue concernée, la géométrie de la polyligne associée et l’éventuel sens de circulation concerné. Ce jeu de données est mis à jour toutes les 5 minutes. Les informations ou les conseils délivrés aux usagers par les tiers exploitant ces d"
commission-du-vieux-paris-adresses-instruites,Commission du Vieux Paris - Adresses instruites,"Culture,Urbanisme et Logements","DAC,patrimoine,Art,Archéologie,Architecture,urbanisme",Direction des Affaires Culturelles - Ville de Paris,,,Open Database License (ODbL),2026-09-03,4994,"Jeu de données référençant les adresses (dossiers à instruire) présentées en Commission du Vieux Paris depuis 2005, précise les voeux émis s’il y en a eu et donne accès à partir de 2006 aux documents de séances. La Commission du Vieux Paris est un comité consultatif. Ce comité a pour mission de conseiller le (la) Maire de Paris pour la protection du patrimoine parisien sous ses aspects historiques, artistiques, esthétiques, archéologiques, architecturaux et urbains. Plus d’informations : Statuts de la Commission du Vieux Paris La Commission du Vieux Paris - Historique : En 1897, est instituée "
volumesnonbatisparis,Espaces non bâtis,Urbanisme et Logements,"Urbanisme,non bâti,bâti,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-09-03,126037,Donnée vecteur qui décrit les espaces non bâtis intérieurs au parcellaire. Vous trouverez en pièce jointe une notice explicative du jeu de données
dechets-menagers-points-dapport-volontaire-composteurs,Déchets ménagers - Points d'apport volontaire - Composteurs,Environnement,"Ordures ménagères,Point de collecte,Tri,Equipements,DPE",Direction de la Propreté et de l'Eau - Ville de Paris,,MONTHLY,Licence Ouverte (Etalab),2026-09-03,99,"Localisation des points de collecte en apport volontaire destinés au composte. Composter ses biodéchets À Paris, les déchets organiques représentent encore 22 % des ordures ménagères du bac à couvercle vert. Composter ses biodéchets permet de recycler ses déchets de cuisine et de jardin et de produire naturellement de l’engrais pour les plantations. En triant et valorisant ses biodéchets à la source grâce au compostage, on peut réduire de 77 kg le poids de déchets produits par an par habitant ! Le compostage, comment ça fonctionne ? Les déchets de cuisine et de jardin sont déposés dans un bac "
denominations-emprises-voies-actuelles,Dénominations des emprises des voies actuelles,Urbanisme et Logements,"voie ,adresse,Arrêté,rue,Nom des rues,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-09-03,6625,"Nomenclature officielle des voies intégrant la date de la dénomination, les textes réglementaires et des informations sur l’historique et l’origine du nom. Cela correspond à la donnée mis en valeur par l’application cartographique sur paris.fr : Nomenclature officielle des voies de Paris. Donnée géographique permettant de consulter l'actualité des nominations des emprises de voies portée à délibération au Conseil de Paris. Ce jeu de données permet aussi sur certaines voies d’avoir des indications sur les dénominations historiques. Le schéma de données est expliqué et détaillé au bas de cette n"
