id,titre,theme,mots_cles,producteur,type_prod,frequence,licence,modifie,lignes,description
plan-de-voirie-separateurs-franchisssement-stationnement,Plan de voirie - Séparateurs - franchissement - Stationnement,Mobilité et Espace Public,"PVP,circulation,voirie,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-08-10,13344,"Séparateurs infranchissables de circulation - Chasses-roues - Séparateurs de stationnement Le Plan de Voirie de Paris : Le Plan de Voirie de Paris (PVP) est destiné à l'instruction technique des projets sur la voie publique, conformément au règlement de voirie en vigueur. Chaque objet de l'espace public est représenté par un symbole référencé dans la charte graphique topographique. Le système de cordonnées planimétriques d’origine du PVP est le Lambert I-54 (Ville de Paris), re- projeté en RGF93.CC49 puis en RGF93 – Lambert 93 (WKID 2154) dans le système d’information de la Ville, puis dans le"
plan-de-voirie-chaussees,Plan de voirie - Chaussées,Mobilité et Espace Public,"PVP,voirie,circulation,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-08-10,20938,"Chaussée - La région « chaussée » est un sous espace de voirie (SEV). Chaque surface de chaussée déterminée doit être contenue dans un espace de voirie section courante ou intersection. Elle correspond à l’emplacement de la chaussée. Surface de l'espace de voirie affectée en priorité à la circulation des véhicules. Le Plan de Voirie de Paris : Le Plan de Voirie de Paris (PVP) est destiné à l'instruction technique des projets sur la voie publique, conformément au règlement de voirie en vigueur. Chaque objet de l'espace public est représenté par un symbole référencé dans la charte graphique topo"
plan-de-voirie-trottoirs-emprises,Plan de voirie - Trottoirs - emprises,Mobilité et Espace Public,"PVP,voirie,piétons,trottoir,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-08-10,50289,"Emprise trottoir. Surface de l'espace de voirie réservée en priorité aux piétons. Le Plan de Voirie de Paris : Le Plan de Voirie de Paris (PVP) est destiné à l'instruction technique des projets sur la voie publique, conformément au règlement de voirie en vigueur. Chaque objet de l'espace public est représenté par un symbole référencé dans la charte graphique topographique. Le système de cordonnées planimétriques d’origine du PVP est le Lambert I-54 (Ville de Paris), re- projeté en RGF93.CC49 puis en RGF93 – Lambert 93 (WKID 2154) dans le système d’information de la Ville, puis dans le système "
plan-de-voirie-ilots-directionnels,Plan de voirie - Ilots directionnels,Mobilité et Espace Public,"PVP,voirie,Carrefour,circulation,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-08-10,2102,"Le sous-ensemble de voirie (SEV) « îlot directionnel » se superpose à un SEV « chaussée ». L’îlot directionnel est un aménagement qui se situe en général dans une intersection pour diriger le flux des véhicules et protéger les piétons. L’îlot directionnel n’est cependant pas forcément accessible aux piétons. Le Plan de Voirie de Paris : Le Plan de Voirie de Paris (PVP) est destiné à l'instruction technique des projets sur la voie publique, conformément au règlement de voirie en vigueur. Chaque objet de l'espace public est représenté par un symbole référencé dans la charte graphique topographiq"
plan-de-voirie-rampes-de-souterrains,Plan de voirie - Rampes de souterrains,Mobilité et Espace Public,"PVP,voirie,circulation,DVD",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-08-10,77,"Rampe type souterrain - Une R.T.S relie deux Sous-ensemble de voirie (S.E.V) chaussée d’un niveau zéro vers un niveau inférieur (surplombé). Les bretelles d’accès des voies rapides sont considérées comme des R.T.S si la pente de la bretelle est supérieur à 4%. Une R.T.S peut donc relier deux S.E.V chaussée appartenant à des espace de voirie (E.V) de niveau zéro. Le Plan de Voirie de Paris : Le Plan de Voirie de Paris (PVP) est destiné à l'instruction technique des projets sur la voie publique, conformément au règlement de voirie en vigueur. Chaque objet de l'espace public est représenté par un"
subventions-associations-votees-,Subventions aux associations votées,Administration et Finances Publiques,"subventions,associations,DDCT","Direction de la Démocratie, des Citoyen.ne.s et des Territoires - Ville de Paris",,,Open Database License (ODbL),2026-07-28,107693,"Liste des subventions aux associations votées par la Ville de Paris depuis 2013 (et par le Département de Paris de 2013 à 2018, date de sa fusion avec la Ville de Paris). Sont considérées comme bénéficiaires de subvention les associations relevant de la loi du 1er juillet 1901 ayant déposé par exercice budgétaire une ou plusieurs demandes de subvention auprès de la Ville de Paris (et du Département de Paris de 2013 à 2018, date de sa fusion avec la Ville de Paris). Ne figurent pas dans la liste: les subventions à des organismes non associatifs (fondations, établissements publics, SCOP, SCIC, s"
dpmp-verbalisations,Verbalisations,Mobilité et Espace Public,"verbalisation,police municipale,incivilités,protection routière",Direction de la Police Municipale et de la Prévention - Ville de Paris,,,Open Database License (ODbL),2026-07-21,89122,"La Direction de la police municipale et de la prévention est chargée de lutter contre toutes formes d’incivilités sur l’espace public et d’assurer la protection routière des usagers. Les agents de la police municipale veillent au respect des règles de civisme sur l’espace public pour un cadre de vie agréable et pacifié, verbalisant les contrevenants. Ils contribuent également au respect des règles de partage de l’espace public en matière de circulation et de stationnement en relevant les infractions. Ces données de verbalisation sont communiquées sous réserve des procédures en cours devant l'a"
traces_cheminement_vers_les_sites_de_baignade_en_seine,Tracés de cheminement vers les sites de Baignade en Seine,"Equipements, Services, Social","Baignade,accessibilité,transports",Direction de la Jeunesse et des Sports,,,Licence Ouverte (Etalab),2026-07-10,3,"Mise en accessibilité des abords des sites de Baignade en Seine La Ville de Paris garantit un accès des sites de baignade en Seine (Bras-Marie, Bercy et Grenelle) aux personnes en situation de handicap. Un chemin d’accès le plus accessible possible est mis en œuvre depuis les transports en commun jusqu’à chaque site de baignade en Seine. Dès cette année, des travaux ont été entrepris pour améliorer l’accessibilité de ces cheminements, en concertation avec les associations. Ces données représentent les tracés de ces parcours pour se rendre plus facilement jusqu'à chaque site de baignade. Plus d"
agec_declaration_article_58,Déclaration relative à l'article 58 de la loi AGEC,Administration et Finances Publiques,"AGEC,déclaration,article 58",Direction des Finances et des Achats - Ville de Paris,,ANNUAL,Licence Ouverte (Etalab),2026-07-08,27,La loi n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l’économie circulaire (AGEC) prescrit une déclaration sur les achats de produits issus du réemploi et de réutilisation ainsi que de matières recyclées. L’article 58 de cette loi impose de déclarer la part des montants des achats effectués par la ville de Paris notamment sur les produits visés par la liste du décret 2024-134 du 21 février 2024 relatif à l’obligation d’acquisition par la commande publique de biens issus du réemploi ou de la réutilisation ou intégrant des matières recyclées. Ces données correspond
adresses-ban,Adresses (format BAN),Urbanisme et Logements,"numéro,coordonnées,adresse,voie ,localisation,DU,BAN",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-07-06,152628,Données au format BAL (Base Adresse Locale) pour la BAN (Base Adresse Nationale). En pièce jointe figure la charte de la base adresse locale. L'adresse est constituée d’un numéro de voirie et du nom d’une rue dans une commune. Elle permet ainsi de localiser géographiquement un lieu. Etendue géographique : Paris Fichier joint : 2023 Charte de la Base Adresse Locale - commune.pdf
